pt,charge,rp_x,rp_y,rp_z,phi,eta,calo_energy
1.19974,-1,0.000650549,0.000740499,-0.0362924,-2.73657,2.31255,0
12.768,1,0.00057065,0.000545054,-0.0147295,2.06368,-0.256074,0
1.05744,-1,0.000890203,0.000562428,0.0257007,-1.85479,1.74789,0
3.56398,-1,0.000914075,0.000614704,-0.0149332,-1.58289,-0.325312,0
1.05173,1,0.00069936,0.000613576,0.026021,-1.38418,1.74694,0
9.12785,1,0.000780857,0.000669442,-0.0145859,2.17398,-0.301992,0
1.33348,-1,0.000711716,0.000377868,0.0158158,-3.12563,2.13406,0
1.13747,1,0.000676296,0.00062769,0.025019,-1.93042,2.31508,0
0.880646,-1,-0.0010558,0.000861818,0.0378592,-1.70934,2.09054,0
1.78957,-1,0.000754659,0.00034906,0.015134,-2.96788,1.97262,0
0.782193,-1,0.000815084,0.00156399,0.00631888,3.02824,2.22064,0
0.862148,-1,-0.00157922,-0.0108866,0.0948661,2.94472,2.13774,0
1.8977,-1,-0.0100991,-0.0577291,-0.395574,2.95928,2.24222,0
1.47079,1,0.0212741,-0.0793261,-0.245901,0.251938,1.38461,0
