detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
604054160,1.26205,-0.725734,-8.06821,1.45559,-0.0031049,-8.06987,3.53319,-0.154349,-8.07159,3.13713,-1.63313,-8.06818,1.26187,-0.726103,-8.24867,1.45541,-0.00347355,-8.25034,3.53301,-0.154718,-8.25206,3.13696,-1.6335,-8.24865
604058256,1.65511,-0.0146582,-9.56259,1.44052,-0.815611,-9.56284,3.13284,-1.63222,-9.5656,3.52902,-0.153475,-9.56512,1.65534,-0.0147791,-9.38212,1.44076,-0.815732,-9.38238,3.13308,-1.63235,-9.38513,3.52925,-0.153596,-9.38465
604062216,1.7439,0.602835,-10.206,1.8231,-0.293371,-10.205,3.51141,-0.460995,-10.2057,3.37664,1.06396,-10.2074,1.74399,0.603048,-10.0255,1.8232,-0.293159,-10.0245,3.51151,-0.460783,-10.0252,3.37674,1.06417,-10.0269
604062352,1.84495,-0.0310495,-10.4531,1.61345,-0.900456,-10.4539,3.14312,-1.63436,-10.4549,3.53703,-0.155006,-10.4535,1.84499,-0.0312225,-10.2726,1.61349,-0.900629,-10.2734,3.14315,-1.63453,-10.2744,3.53706,-0.155179,-10.2731
604049928,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050208,0.961013,-0.327145,-5.78164,1.0133,-0.0304165,-5.78136,2.63542,-0.160028,-5.78143,2.52974,-0.759788,-5.78198,0.961018,-0.327011,-5.92864,1.0133,-0.0302823,-5.92836,2.63542,-0.159894,-5.92843,2.52974,-0.759654,-5.92898
604050440,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050720,0.961013,-0.327145,-5.78164,1.0133,-0.0304165,-5.78136,2.63542,-0.160028,-5.78143,2.52974,-0.759788,-5.78198,0.961018,-0.327011,-5.92864,1.0133,-0.0302823,-5.92836,2.63542,-0.159894,-5.92843,2.52974,-0.759654,-5.92898
604054160,1.26205,-0.725734,-8.06821,1.45559,-0.0031049,-8.06987,3.53319,-0.154349,-8.07159,3.13713,-1.63313,-8.06818,1.26187,-0.726103,-8.24867,1.45541,-0.00347355,-8.25034,3.53301,-0.154718,-8.25206,3.13696,-1.6335,-8.24865
604058256,1.65511,-0.0146582,-9.56259,1.44052,-0.815611,-9.56284,3.13284,-1.63222,-9.5656,3.52902,-0.153475,-9.56512,1.65534,-0.0147791,-9.38212,1.44076,-0.815732,-9.38238,3.13308,-1.63235,-9.38513,3.52925,-0.153596,-9.38465
604062216,1.7439,0.602835,-10.206,1.8231,-0.293371,-10.205,3.51141,-0.460995,-10.2057,3.37664,1.06396,-10.2074,1.74399,0.603048,-10.0255,1.8232,-0.293159,-10.0245,3.51151,-0.460783,-10.0252,3.37674,1.06417,-10.0269
604062352,1.84495,-0.0310495,-10.4531,1.61345,-0.900456,-10.4539,3.14312,-1.63436,-10.4549,3.53703,-0.155006,-10.4535,1.84499,-0.0312225,-10.2726,1.61349,-0.900629,-10.2734,3.14315,-1.63453,-10.2744,3.53706,-0.155179,-10.2731
604049928,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050440,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050208,0.961013,-0.327145,-5.78164,1.0133,-0.0304165,-5.78136,2.63542,-0.160028,-5.78143,2.52974,-0.759788,-5.78198,0.961018,-0.327011,-5.92864,1.0133,-0.0302823,-5.92836,2.63542,-0.159894,-5.92843,2.52974,-0.759654,-5.92898
604050720,0.961013,-0.327145,-5.78164,1.0133,-0.0304165,-5.78136,2.63542,-0.160028,-5.78143,2.52974,-0.759788,-5.78198,0.961018,-0.327011,-5.92864,1.0133,-0.0302823,-5.92836,2.63542,-0.159894,-5.92843,2.52974,-0.759654,-5.92898
604050952,2.75135,-0.377745,-7.02564,2.75091,0.374535,-7.02598,4.6448,0.538064,-7.03354,4.64543,-0.539056,-7.03307,2.75063,-0.377826,-7.20611,2.75019,0.374454,-7.20644,4.64408,0.537983,-7.21401,4.64471,-0.539137,-7.21353
604050072,-1.00395,0.148829,-6.07566,-1.0042,-0.15247,-6.07606,-2.62432,-0.305008,-6.0761,-2.62383,0.303991,-6.07529,-1.00397,0.149025,-6.22266,-1.00421,-0.152274,-6.22306,-2.62434,-0.304812,-6.2231,-2.62384,0.304187,-6.22229
604050080,-1.01519,-0.0276926,-5.78282,-0.963031,-0.324444,-5.78307,-2.53194,-0.756397,-5.78303,-2.63736,-0.156591,-5.78252,-1.01522,-0.0275738,-5.92982,-0.963067,-0.324325,-5.93007,-2.53198,-0.756278,-5.93003,-2.6374,-0.156472,-5.92952
604050584,-1.00395,0.148829,-6.07566,-1.0042,-0.15247,-6.07606,-2.62432,-0.305008,-6.0761,-2.62383,0.303991,-6.07529,-1.00397,0.149025,-6.22266,-1.00421,-0.152274,-6.22306,-2.62434,-0.304812,-6.2231,-2.62384,0.304187,-6.22229
604050592,-1.01519,-0.0276926,-5.78282,-0.963031,-0.324444,-5.78307,-2.53194,-0.756397,-5.78303,-2.63736,-0.156591,-5.78252,-1.01522,-0.0275738,-5.92982,-0.963067,-0.324325,-5.93007,-2.53198,-0.756278,-5.93003,-2.6374,-0.156472,-5.92952
604049928,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050208,0.961013,-0.327145,-5.78164,1.0133,-0.0304165,-5.78136,2.63542,-0.160028,-5.78143,2.52974,-0.759788,-5.78198,0.961018,-0.327011,-5.92864,1.0133,-0.0302823,-5.92836,2.63542,-0.159894,-5.92843,2.52974,-0.759654,-5.92898
604050440,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050720,0.961013,-0.327145,-5.78164,1.0133,-0.0304165,-5.78136,2.63542,-0.160028,-5.78143,2.52974,-0.759788,-5.78198,0.961018,-0.327011,-5.92864,1.0133,-0.0302823,-5.92836,2.63542,-0.159894,-5.92843,2.52974,-0.759654,-5.92898
604049928,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604050440,1.00256,-0.154609,-6.07425,1.00252,0.146691,-6.07462,2.62249,0.300779,-6.07499,2.62258,-0.30822,-6.07423,1.00254,-0.154791,-6.22125,1.0025,0.146508,-6.22162,2.62248,0.300597,-6.22199,2.62257,-0.308402,-6.22123
604054024,1.43356,-0.252174,-8.3162,1.36704,0.492962,-8.31738,3.37014,1.06472,-8.31884,3.50625,-0.460118,-8.31644,1.43351,-0.252462,-8.49667,1.36699,0.492674,-8.49784,3.37009,1.06443,-8.4993,3.5062,-0.460406,-8.49691
604050072,-1.00395,0.148829,-6.07566,-1.0042,-0.15247,-6.07606,-2.62432,-0.305008,-6.0761,-2.62383,0.303991,-6.07529,-1.00397,0.149025,-6.22266,-1.00421,-0.152274,-6.22306,-2.62434,-0.304812,-6.2231,-2.62384,0.304187,-6.22229
604050584,-1.00395,0.148829,-6.07566,-1.0042,-0.15247,-6.07606,-2.62432,-0.305008,-6.0761,-2.62383,0.303991,-6.07529,-1.00397,0.149025,-6.22266,-1.00421,-0.152274,-6.22306,-2.62434,-0.304812,-6.2231,-2.62384,0.304187,-6.22229
