detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
604050024,-0.371199,0.940858,-6.075,-0.63236,0.790603,-6.07539,-1.57359,2.11806,-6.07528,-1.04572,2.42177,-6.07451,-0.37105,0.940976,-6.222,-0.632211,0.79072,-6.22239,-1.57344,2.11818,-6.22228,-1.04557,2.42188,-6.22151
604050032,-0.529246,0.86245,-5.78234,-0.760259,0.669021,-5.78224,-1.91823,1.81234,-5.782,-1.45129,2.20331,-5.7822,-0.529293,0.862433,-5.92934,-0.760306,0.669004,-5.92924,-1.91828,1.81232,-5.929,-1.45134,2.20329,-5.9292
604050536,-0.371199,0.940858,-6.075,-0.63236,0.790603,-6.07539,-1.57359,2.11806,-6.07528,-1.04572,2.42177,-6.07451,-0.37105,0.940976,-6.222,-0.632211,0.79072,-6.22239,-1.57344,2.11818,-6.22228,-1.04557,2.42188,-6.22151
604050544,-0.529246,0.86245,-5.78234,-0.760259,0.669021,-5.78224,-1.91823,1.81234,-5.782,-1.45129,2.20331,-5.7822,-0.529293,0.862433,-5.92934,-0.760306,0.669004,-5.92924,-1.91828,1.81232,-5.929,-1.45134,2.20329,-5.9292
604054072,-0.498673,1.36385,-8.31357,-1.11157,0.934881,-8.31502,-2.60542,2.38667,-8.31723,-1.35121,3.26451,-8.31424,-0.498312,1.36395,-8.49403,-1.1112,0.934979,-8.49549,-2.60506,2.38677,-8.49769,-1.35085,3.2646,-8.49471
604058168,-1.25758,1.07276,-9.31498,-0.578801,1.54902,-9.31335,-1.35187,3.26167,-9.3155,-2.60506,2.38237,-9.3185,-1.25803,1.07278,-9.13451,-0.579249,1.54905,-9.13289,-1.35232,3.26169,-9.13503,-2.60551,2.3824,-9.13803
604062264,-1.39746,1.20786,-10.2075,-0.660004,1.72323,-10.2053,-1.35621,3.27041,-10.2068,-2.61105,2.39348,-10.2105,-1.39796,1.2078,-10.0271,-0.660504,1.72317,-10.0249,-1.35671,3.27036,-10.0263,-2.61155,2.39342,-10.0301
604050024,-0.371199,0.940858,-6.075,-0.63236,0.790603,-6.07539,-1.57359,2.11806,-6.07528,-1.04572,2.42177,-6.07451,-0.37105,0.940976,-6.222,-0.632211,0.79072,-6.22239,-1.57344,2.11818,-6.22228,-1.04557,2.42188,-6.22151
604050032,-0.529246,0.86245,-5.78234,-0.760259,0.669021,-5.78224,-1.91823,1.81234,-5.782,-1.45129,2.20331,-5.7822,-0.529293,0.862433,-5.92934,-0.760306,0.669004,-5.92924,-1.91828,1.81232,-5.929,-1.45134,2.20329,-5.9292
604050536,-0.371199,0.940858,-6.075,-0.63236,0.790603,-6.07539,-1.57359,2.11806,-6.07528,-1.04572,2.42177,-6.07451,-0.37105,0.940976,-6.222,-0.632211,0.79072,-6.22239,-1.57344,2.11818,-6.22228,-1.04557,2.42188,-6.22151
