et,eta,theta,phi
97.9542,0.940418,0.744519,-2.24787
93.8314,-1.831,2.82379,1.27465
20.8656,-1.922,2.85103,-1.35708
21.3359,-0.720423,2.23594,0.290969
12.6196,2.92063,0.107696,1.79998
13.8643,0.0832786,1.48761,2.65455
13.8752,-0.0882574,1.65894,-2.70424
12.4579,-2.18724,2.91807,-0.0324931
12.4043,1.91129,0.29365,1.54042
12.371,1.8216,0.320754,2.59191
12.1251,0.472775,1.11471,-0.772077
10.2728,-0.989472,2.42972,2.27833
9.82192,-3.05623,3.04753,-0.642619
9.19395,3.51936,0.0592193,-2.34923
9.19013,4.0145,0.0360999,-0.78318
9.14127,2.1814,0.224816,-1.72247
8.0579,-0.692942,2.21413,1.40742
7.63543,-3.02539,3.04459,-1.52079
7.62644,0.808887,0.837966,1.27767
7.28709,1.29323,0.535585,0.122495
6.83484,1.55352,0.416862,-1.01617
6.50327,-4.14535,3.10992,-1.7148
6.185,2.87578,0.112625,0.677706
6.12635,-2.54202,2.9845,-2.41556
6.038,-3.34682,3.07123,0.980899
5.67441,2.52469,0.159824,-0.35925
5.59903,-1.12446,2.51344,-0.50685
5.49334,-0.798924,2.2962,-1.89788
4.66103,4.27196,0.027907,3.09874
4.64247,4.65067,0.0191098,-1.54916
4.48916,-4.03579,3.10625,-0.468188
4.40656,4.15316,0.0314268,1.8055
4.05447,-1.15349,2.5303,-3.02494
3.83753,4.36811,0.0253491,0.433592
3.3145,-2.26952,2.9356,2.71047
3.33433,0.213983,1.35843,0.473527
